Id,Label,Type,Latitude_deg,Longitude_deg
MVQ,Mogilev Airport,medium_airport,53.95489883,30.0951004
ABA,Abakan Airport,medium_airport,53.74000168,91.38500214
BAX,Barnaul Airport,medium_airport,53.36380005,83.53849792
RGK,Gorno-Altaysk Airport,medium_airport,51.96670151,85.83329773
KEJ,Kemerovo Airport,medium_airport,55.27009964,86.10720062
EIE,Yeniseysk Airport,medium_airport,58.4742012,92.11250305
TGP,Podkamennaya Tunguska Airport,medium_airport,61.589699,89.994003
KJA,Yemelyanovo Airport,large_airport,56.172901,92.493301
ACS,Achinsk Airport,medium_airport,56.2682991,90.57080078
KYZ,Kyzyl Airport,medium_airport,51.66939926,94.40059662
OVB,Tolmachevo Airport,large_airport,55.01259995,82.65070343
OMS,Omsk Central Airport,medium_airport,54.96699905,73.3105011
SWT,Strezhevoy Airport,medium_airport,60.70940018,77.66000366
TOF,Bogashevo Airport,medium_airport,56.38029861,85.20829773
NOZ,Spichenkovo Airport,medium_airport,53.811401,86.877197
DKS,Dikson Airport,medium_airport,73.51780701,80.37966919
HTG,Khatanga Airport,medium_airport,71.97810364,102.4909973
IAA,Igarka Airport,medium_airport,67.43720245,86.62190247
NSK,Norilsk-Alykel Airport,medium_airport,69.31109619,87.3321991
THX,Turukhansk Airport,small_airport,65.79720306,87.93530273
URB,Urubupunga Airport,closed,-20.77709961,-51.56480026
AAQ,Anapa Vityazevo Airport,medium_airport,45.0021019,37.34730148
EIK,Yeysk Airport,medium_airport,46.68,38.21
GDZ,Gelendzhik Airport,medium_airport,44.58209263,38.01248074
KRR,Krasnodar Pashkovsky International Airport,medium_airport,45.03469849,39.17050171
MCX,Uytash Airport,medium_airport,42.81679916,47.65230179
MRV,Mineralnyye Vody Airport,medium_airport,44.22510147,43.08190155
NAL,Nalchik Airport,medium_airport,43.51290131,43.63660049
OGZ,Beslan Airport,medium_airport,43.20510101,44.60660172
IGT,Magas Airport,medium_airport,43.32229996,45.01259995
STW,Stavropol Shpakovskoye Airport,medium_airport,45.10919952,42.1128006
ROV,Platov International Airport,large_airport,47.493888,39.924722
RVI,Rostov-on-Don Airport,closed,47.258203,39.8181
TGK,Taganrog Yuzhny Airport,medium_airport,47.1983333,38.8491667
VLK,Volgodonsk Airport,closed,47.682098,42.0728
AER,Sochi International Airport,large_airport,43.449902,39.9566
ASF,Astrakhan Airport,medium_airport,46.28329849,48.00630188
ESL,Elista Airport,medium_airport,46.37390137,44.33089828
VOG,Volgograd International Airport,medium_airport,48.78250122,44.34550095
BNH,Cape Air Seaplanes on Boston Harbor Seaplane Base,seaplane_base,42.352502,-71.025832
RTL,Spirit Lake Municipal Airport,small_airport,43.38750076,-95.1391983
BPA,Grumman Bethpage Airport,closed,40.74940109,-73.4960022
CEK,Chelyabinsk Balandino Airport,medium_airport,55.305801,61.5033
MQF,Magnitogorsk International Airport,medium_airport,53.39310074,58.75569916
SBT,Sabetta International Airport,medium_airport,71.219167,72.052222
SLY,Salekhard Airport,medium_airport,66.59079742,66.61100006
YMK,Mys Kamenny Airport,small_airport,68.48300171,73.56700134
KKQ,Krasnoselkup Airport,small_airport,65.717,82.455
TQL,Tarko-Sale Airport,small_airport,64.93080139,77.81809998
UEN,Urengoy Airport,small_airport,65.95999908,78.43699646
EZV,Berezovo Airport,medium_airport,63.92100143,65.03050232
HMA,Khanty Mansiysk Airport,medium_airport,61.0284996,69.08609772
IRM,Igrim Airport,small_airport,63.19879913,64.43930054
NYA,Nyagan Airport,medium_airport,62.110001,65.614998
OVS,Sovetskiy Airport,medium_airport,61.32662201,63.60191345
URJ,Uray Airport,medium_airport,60.10329819,64.8266983
EYK,Beloyarskiy Airport,medium_airport,63.686901,66.698601
IJK,Izhevsk Airport,medium_airport,56.8280983,53.45750046
KVX,Pobedilovo Airport,medium_airport,58.50329971,49.34830093
NYM,Nadym Airport,medium_airport,65.48090363,72.69889832
NUX,Novy Urengoy Airport,medium_airport,66.06939697,76.52030182
NJC,Nizhnevartovsk Airport,medium_airport,60.94929886,76.4835968
RAT,Raduzhny Airport,closed,62.15859985,77.3289032
USO,Usino Airport,closed,-5.5276,145.371
PEE,Bolshoye Savino Airport,medium_airport,57.91450119,56.02119827
KGP,Kogalym International Airport,medium_airport,62.19039917,74.53379822
NFG,Nefteyugansk Airport,medium_airport,61.10829926,72.65000153
NOJ,Noyabrsk Airport,medium_airport,63.18330002,75.26999664
SGC,Surgut Airport,medium_airport,61.34370041,73.40180206
SVX,Koltsovo Airport,large_airport,56.74309921,60.80270004
TOX,Tobolsk Airport,small_airport,58.13579941,68.23190308
TJM,Roshchino International Airport,medium_airport,57.1896019,65.32430267
KRO,Kurgan Airport,medium_airport,55.47529984,65.41560364
BKN,Balkanabat Airport,small_airport,39.480598,54.366001
GMV,Monument Valley Airport,small_airport,37.01670074,-110.2009964
ASB,Ashgabat Airport,medium_airport,37.98680115,58.36100006
KRW,Turkmenbashi Airport,medium_airport,40.063301,53.007198
MYP,Mary Airport,medium_airport,37.6194,61.896702
TAZ,DaÅŸoguz Airport,medium_airport,41.761101,59.826698
CRZ,Turkmenabat Airport,medium_airport,39.08330154,63.61330032
DYU,Dushanbe Airport,medium_airport,38.54330063,68.82499695
TJU,Kulob Airport,medium_airport,37.98809814,69.80500031
LBD,Khudzhand Airport,medium_airport,40.2154007,69.69470215
KQT,Qurghonteppa International Airport,medium_airport,37.86640167,68.86470032
AZN,Andizhan Airport,small_airport,40.72769928,72.29399872
FEG,Fergana International Airport,small_airport,40.35879898,71.74500275
NMA,Namangan Airport,small_airport,40.98460007,71.55670166
NCU,Nukus Airport,small_airport,42.48839951,59.62329865
UGC,Urgench Airport,medium_airport,41.58430099,60.64170074
NVI,Navoi Airport,small_airport,40.11719894,65.17079926
BHK,Bukhara Airport,medium_airport,39.77500153,64.48329926
KSQ,Karshi Khanabad Airport,small_airport,38.83359909,65.92150116
AFS,Sugraly Airport,small_airport,41.61389923,64.23320007
SKD,Samarkand Airport,medium_airport,39.70050049,66.9838028
TMJ,Termez Airport,medium_airport,37.2867012,67.30999756
TAS,Tashkent International Airport,large_airport,41.25790024,69.28119659
UTU,Ustupo Airport,small_airport,9.1283,-77.9337
KMW,Kostroma Sokerkino Airport,medium_airport,57.7969017,41.01940155
BKA,Bykovo Airport,closed,55.61719894,38.06000137
KLF,Grabtsevo Airport,medium_airport,54.54999924,36.3666687
IWA,Ivanovo South Airport,medium_airport,56.93939972,40.94079971
RYB,Staroselye Airport,medium_airport,58.10419846,38.9294014
BZK,Bryansk Airport,medium_airport,53.214199,34.176399
ZIA,Zhukovsky International Airport,large_airport,55.553299,38.150002
DME,Domodedovo International Airport,large_airport,55.40879822,37.90629959
IAR,Tunoshna Airport,small_airport,57.56069946,40.15739822
SVO,Sheremetyevo International Airport,large_airport,55.972599,37.4146
KLD,Migalovo Air Base,medium_airport,56.8246994,35.75770187
OSF,Ostafyevo International Airport,medium_airport,55.511667,37.507222
CKL,Chkalovskiy Air Base,medium_airport,55.8783,38.061699
EGO,Belgorod International Airport,medium_airport,50.64379883,36.59009933
URS,Kursk East Airport,medium_airport,51.75059891,36.29560089
LPK,Lipetsk Airport,medium_airport,52.70280075,39.53779984
VOZ,Voronezh International Airport,medium_airport,51.81420135,39.229599
OEL,Oryol Yuzhny Airport,medium_airport,52.93470001,36.00220108
TBW,Donskoye Airport,medium_airport,52.80609894,41.48279953
UUU,Manumu Airport,small_airport,-9.0746,147.5735
RZN,Turlatovo Airport,small_airport,54.55590057,39.85520172
TYA,Klokovo Airfield,small_airport,54.239,37.6
VKO,Vnukovo International Airport,large_airport,55.59149933,37.26150131
UCT,Ukhta Airport,medium_airport,63.56689835,53.80469894
INA,Inta Airport,medium_airport,66.05483246,60.11032104
PEX,Pechora Airport,medium_airport,65.12110138,57.13079834
USK,Usinsk Airport,medium_airport,66.00469971,57.36719894
VKT,Vorkuta Airport,medium_airport,67.48860168,63.99309921
UTS,Ust-Tsylma Airport,medium_airport,65.43729401,52.20033646
SCW,Syktyvkar Airport,medium_airport,61.64699936,50.8451004
GOJ,Nizhny Novgorod Strigino International Airport,medium_airport,56.23009872,43.7840004
UUA,Bugulma Airport,medium_airport,54.63999939,52.80170059
